date,open,high,low,close,volume
06/02/98,33.4775,33.5492,33.1427,33.4775,7500
09/02/98,33.4416,33.4416,33.1786,33.4416,7600
10/02/98,33.1786,33.5492,33.1786,33.5492,19900
11/02/98,33.5492,33.6628,33.1786,33.6628,14500
12/02/98,32.8797,33.3281,32.8797,33.2503,6100
13/02/98,31.7558,32.0547,31.7558,32.0547,72000
17/02/98,31.9112,32.3536,31.9112,32.1324,6300
18/02/98,32.0547,32.1324,31.6841,32.1324,11500
19/02/98,31.5705,31.6123,31.4569,31.6123,30700
20/02/98,31.7199,31.7199,31.3852,31.3852,20000
23/02/98,31.2357,31.2716,31.0863,31.2716,10200
24/02/98,30.9009,31.3852,30.7874,31.3852,47600
25/02/98,31.2357,31.5346,31.2357,31.3852,8400
26/02/98,31.983,32.5808,31.7977,32.5808,29200
27/02/98,32.7302,33.1069,32.7302,32.808,39400
02/03/98,33.4058,33.4058,32.9514,33.1786,9700
03/03/98,32.808,32.8797,32.6944,32.8797,9600
04/03/98,33.1069,33.1069,32.8797,33.0291,14500
05/03/98,32.4313,32.808,32.4313,32.6525,15800
06/03/98,32.8438,32.8797,32.4672,32.5808,16700
09/03/98,32.6525,32.808,32.5449,32.808,6500
10/03/98,32.2819,32.2819,31.983,32.246,19700
11/03/98,30.9368,31.158,30.7874,31.0863,34400
12/03/98,30.8591,31.0504,30.7156,30.9009,18100
13/03/98,31.0863,31.8335,31.0863,31.7977,33500
16/03/98,31.6841,32.0188,31.6841,32.0188,5600
17/03/98,31.6123,31.9471,31.5346,31.7199,10300
18/03/98,30.7874,30.9368,30.4884,30.9368,24200
19/03/98,30.9727,31.0145,30.8232,30.9009,18900
20/03/98,30.7874,31.0145,30.7874,31.0145,15100
23/03/98,30.7515,30.7515,30.3749,30.6379,36300
24/03/98,30.6379,30.8591,30.4884,30.8591,25800
25/03/98,30.8409,31.063,30.5407,30.9129,81600
26/03/98,31.2971,32.1638,31.2971,32.1638,66500
27/03/98,31.6703,31.8268,31.3693,31.7485,19200
30/03/98,30.7932,31.0951,30.7932,31.0227,23700
31/03/98,32.0008,32.188,31.8136,31.8499,29400
01/04/98,31.8499,31.9284,31.6627,31.8499,9900
02/04/98,30.9442,31.0951,30.7932,30.9804,50300
03/04/98,30.3404,30.5638,30.1894,30.5638,46100
06/04/98,30.4189,30.7208,30.4189,30.5638,11900
07/04/98,30.4913,30.7932,30.4913,30.7208,33400
08/04/98,31.2461,32.188,30.7932,31.9284,54800
09/04/98,32.0008,32.6046,32.0008,32.4174,57500
13/04/98,32.6771,32.7555,32.5321,32.5321,21100
14/04/98,32.5321,32.6771,32.3027,32.3752,28300
15/04/98,32.3752,32.3752,32.2303,32.3752,101200
16/04/98,31.1676,31.2823,31.0951,31.2823,26500
17/04/98,31.1676,31.4695,31.1676,31.3246,12300
20/04/98,31.0951,31.397,31.0951,31.397,20800
21/04/98,31.6989,31.7714,31.397,31.7714,11600
22/04/98,31.6989,32.0733,31.6989,31.7351,13200
23/04/98,31.548,32.0008,31.548,32.0008,8600
24/04/98,32.3752,32.5684,32.0008,32.2303,18400
27/04/98,31.0951,31.4332,31.0951,31.397,9000
28/04/98,31.2098,31.397,31.1676,31.3246,11800
29/04/98,31.3246,31.548,31.2823,31.548,18500
30/04/98,31.6989,31.6989,31.3608,31.6989,9700
01/05/98,31.2461,31.548,31.2461,31.2461,5600
04/05/98,31.2461,31.548,31.2461,31.548,6100
05/05/98,31.548,31.548,31.5117,31.5117,2800
06/05/98,31.0951,31.397,31.0951,31.2098,6900
07/05/98,31.0951,31.0951,30.7208,30.9442,27100
08/05/98,30.908,31.0951,30.7208,30.757,16500
11/05/98,31.2461,32.0008,31.2461,31.8499,44900
12/05/98,31.6989,31.6989,31.5117,31.5117,24500
13/05/98,31.0227,31.1676,30.9442,31.1676,11200
14/05/98,30.8657,31.1676,30.8657,30.9804,3200
15/05/98,31.0227,31.0227,30.6423,30.7208,30300
18/05/98,30.4913,30.5638,30.4913,30.4913,3800
19/05/98,30.7932,30.7932,30.5638,30.7932,8200
20/05/98,30.1894,30.3404,30.0747,30.3404,21100
21/05/98,30.8295,30.8657,30.7932,30.8295,8400
22/05/98,30.7208,30.757,30.5276,30.6423,7700
26/05/98,30.5276,30.7208,30.4913,30.4913,20300
27/05/98,30.6423,30.6423,30.4913,30.4913,5200
28/05/98,30.3404,30.6423,30.3404,30.6423,6600
29/05/98,30.1894,30.1894,30.0747,30.1894,6800
01/06/98,29.2838,29.3562,28.9094,28.9094,41300
02/06/98,29.2113,29.5132,29.2113,29.5132,24600
03/06/98,29.5132,29.7004,29.5132,29.5857,10800
04/06/98,29.6581,29.7728,29.6581,29.6581,7500
05/06/98,29.5857,29.5857,29.3562,29.5857,6000
08/06/98,29.3562,29.5857,29.3562,29.3562,7900
09/06/98,29.8151,29.8151,29.4709,29.5857,4900
10/06/98,29.2838,29.5857,29.2475,29.5857,13000
11/06/98,29.5132,29.5857,28.9819,29.0543,37000
12/06/98,29.2838,29.3562,29.1328,29.169,14800
15/06/98,29.2113,29.2113,28.9819,29.0543,12500
16/06/98,29.1328,29.2838,28.9819,29.0543,9500
17/06/98,29.4347,31.0227,29.4347,30.9442,25900
18/06/98,30.3766,30.3766,29.96,30.3766,10800
19/06/98,30.5638,31.0227,30.4913,30.5638,16500
22/06/98,29.96,29.96,29.5857,29.8876,19800
23/06/98,29.6581,29.6581,29.5857,29.6581,4400
24/06/98,29.4347,29.7366,29.4347,29.6219,7100
25/06/98,29.5857,29.7366,29.5132,29.5132,11100
26/06/98,29.2838,29.5132,29.2838,29.4347,3500
29/06/98,29.3562,29.6581,29.3562,29.4709,10500
30/06/98,29.7366,31.397,29.7366,31.3246,65600
01/07/98,31.397,31.6627,31.397,31.6627,74000
02/07/98,30.1894,30.5638,30.0385,30.3766,16300
06/07/98,30.4913,30.4913,30.1894,30.1894,3000
07/07/98,30.908,30.9442,30.7208,30.7208,5500
08/07/98,30.9442,30.9804,30.6423,30.9804,8200
09/07/98,30.7932,30.7932,30.1894,30.5638,14200
10/07/98,29.96,30.117,29.7366,30.117,16400
13/07/98,29.96,30.117,29.96,30.117,7300
14/07/98,30.1894,31.0227,30.1894,31.0227,30500
15/07/98,30.7932,30.7932,30.4913,30.4913,7600
16/07/98,30.8295,30.8295,30.757,30.757,7200
17/07/98,31.0951,31.1676,30.7932,31.1676,41500
20/07/98,31.1676,31.2823,31.0227,31.1314,26500
21/07/98,30.8657,30.9442,30.4913,30.7932,14300
22/07/98,30.4189,30.4189,29.96,30.117,4900
23/07/98,30.1894,30.1894,29.8876,29.8876,4900
24/07/98,30.4189,30.4189,30.0385,30.0385,31700
27/07/98,29.8876,29.8876,29.5857,29.5857,4600
28/07/98,29.96,29.96,29.5857,29.5857,4100
29/07/98,29.4347,29.6581,29.3985,29.5494,31700
30/07/98,29.8151,29.8151,29.5494,29.6581,34100
31/07/98,29.96,29.96,29.5494,29.5494,3300
03/08/98,29.3985,29.7366,29.32,29.5494,3400
04/08/98,29.32,29.5857,29.2113,29.2113,14700
05/08/98,29.2838,29.6219,29.2113,29.2113,3300
06/08/98,29.1328,29.169,28.9819,28.9819,5200
07/08/98,28.68,29.0543,28.68,29.0543,10600
10/08/98,28.8309,28.8309,28.3781,28.8309,18500
11/08/98,28.0762,28.3056,27.9615,28.0037,19300
12/08/98,28.2271,28.3781,28.1486,28.3781,134500
13/08/98,28.0037,28.0762,27.9252,27.9252,6800
14/08/98,27.4724,27.7743,27.3999,27.4724,16900
17/08/98,26.9411,27.243,26.8686,27.243,15600
18/08/98,27.3214,27.4724,27.0196,27.4724,8100
19/08/98,28.2271,28.2271,27.7743,28.0762,3500
20/08/98,28.2634,28.529,28.2634,28.4505,16800
21/08/98,27.3999,27.7743,27.2671,27.6233,8000
24/08/98,27.1705,27.1705,26.7177,27.1705,2500
25/08/98,27.0196,27.1705,26.8686,27.0196,16900
26/08/98,26.5667,26.6392,26.2286,26.301,7600
27/08/98,25.812,25.812,25.3591,25.3591,10700
28/08/98,25.2082,25.3591,24.7553,24.7553,19600
31/08/98,25.3591,25.812,25.2867,25.3591,12500
01/09/98,26.301,27.0196,26.301,26.6814,20600
02/09/98,26.1139,26.4158,26.1139,26.1139,10800
03/09/98,26.7177,27.0196,26.5667,26.5667,13800
04/09/98,26.5305,26.9048,26.3373,26.4943,27500
08/09/98,28.7947,29.2113,28.7947,28.7947,122800
09/09/98,26.8686,27.1705,26.6814,26.6814,4600
10/09/98,26.8686,27.0196,26.7962,26.7962,3500
11/09/98,26.5667,26.5667,26.0776,26.5667,8700
14/09/98,25.3591,25.5101,24.9063,25.5101,42400
15/09/98,25.3591,25.4316,25.2082,25.3591,10700
16/09/98,24.7553,25.2082,24.7553,25.2082,11100
17/09/98,24.7916,25.0572,24.7191,24.7191,3100
18/09/98,25.5886,25.5886,25.3591,25.5886,2700
21/09/98,25.2082,25.2082,24.9063,25.0572,12200
22/09/98,25.2082,25.2082,24.7553,24.9063,8000
23/09/98,24.8701,25.661,24.7916,25.661,62700
24/09/98,25.2082,25.5886,25.0935,25.3591,10900
25/09/98,25.5881,25.7395,25.5881,25.7395,2300
28/09/98,27.1022,27.405,27.1022,27.1022,41600
29/09/98,28.3135,28.3135,27.9319,28.1621,20100
30/09/98,27.6291,27.6291,27.1022,27.1809,7900
01/10/98,26.7994,26.7994,26.3452,26.5753,3900
02/10/98,26.9508,26.9508,26.4966,26.7994,4200
05/10/98,26.3452,26.3452,25.7759,25.8909,6400
06/10/98,26.4966,27.1022,26.4178,26.648,41600
07/10/98,27.2173,30.0153,27.2173,29.6035,94900
08/10/98,28.9191,28.9191,27.1809,27.4414,35800
09/10/98,27.3263,28.3922,27.2899,28.3922,14000
12/10/98,29.5247,30.0516,29.5247,30.0516,16400
13/10/98,27.5928,28.3498,27.5928,28.3498,16700
14/10/98,28.1984,28.4649,27.8592,27.9743,6400
15/10/98,28.3135,29.9063,28.3135,29.3733,40600
16/10/98,31.0388,31.2629,30.736,30.8147,43000
19/10/98,31.9473,32.0987,31.9473,31.9473,35700
20/10/98,31.8686,32.4015,31.8686,32.0987,49400
21/10/98,32.3288,32.7043,32.1714,32.3288,18000
22/10/98,30.5846,30.8147,30.2818,30.8147,5000
23/10/98,29.4097,29.8276,29.4097,29.6762,5500
26/10/98,29.0705,29.0705,28.9978,29.0705,2200
27/10/98,29.1432,29.3007,28.9736,29.3007,24100
28/10/98,28.9191,29.3007,28.9191,29.0705,5000
29/10/98,30.2091,30.2091,29.9063,29.979,4300
30/10/98,29.0705,29.6762,29.0705,29.3733,9300
02/11/98,31.0388,32.1714,31.0388,32.0987,50900
